epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8867,1.13769,6.96188,1.74164,0.62367,0.48036,0.45734,0.34486,1.10847,6.48961,1.55594,0.00032967,0.00032967,0.0673626
2,77.9401,0.96059,5.38329,1.59881,0.51221,0.49425,0.36359,0.26844,1.17093,7.82591,1.69268,0.000662842,0.000662842,0.0343625
3,114.901,0.9703,5.29975,1.5993,0.57288,0.50342,0.47281,0.26022,1.80006,6.55904,2.38899,0.000995364,0.000995364,0.00136166
4,151.074,0.95576,5.13985,1.58051,0.48092,0.43875,0.31634,0.20614,1.23906,7.41236,1.64942,0.000997803,0.000997803,0.000997803
5,189.222,0.89895,4.92407,1.53976,0.64288,0.54708,0.50078,0.37252,1.11969,5.36068,1.55569,0.000996097,0.000996097,0.000996097
6,224.839,0.84093,4.79111,1.49568,0.31325,0.51207,0.36549,0.28819,1.1407,6.16692,1.62184,0.000993906,0.000993906,0.000993906
7,260.79,0.85486,4.68735,1.5075,0.31249,0.60857,0.37856,0.31483,1.15822,6.10729,1.65764,0.000991232,0.000991232,0.000991232
8,298.634,0.83523,4.70833,1.48481,0.42659,0.60114,0.51377,0.4017,1.15804,4.88968,1.69108,0.000988079,0.000988079,0.000988079
9,335.118,0.82899,4.55619,1.47033,0.43051,0.55851,0.49896,0.38874,1.03752,5.07985,1.48323,0.000984449,0.000984449,0.000984449
10,370.859,0.8165,4.58324,1.48362,0.64492,0.59183,0.52278,0.40961,0.92076,4.84443,1.27785,0.000980345,0.000980345,0.000980345
11,408.857,0.81488,4.60921,1.46814,0.6923,0.5098,0.55145,0.42513,0.99838,4.82382,1.40327,0.000975773,0.000975773,0.000975773
12,444.592,0.80293,4.50871,1.45634,0.61265,0.48206,0.4817,0.38668,1.03774,4.89039,1.40821,0.000970736,0.000970736,0.000970736
13,480.148,0.7708,4.30514,1.43852,0.34388,0.59197,0.47623,0.37899,1.05619,5.5329,1.49353,0.000965239,0.000965239,0.000965239
14,518.228,0.76953,4.42212,1.43851,0.49772,0.59656,0.53404,0.40388,0.95559,4.27403,1.35129,0.000959289,0.000959289,0.000959289
15,554.559,0.76787,4.35465,1.4367,0.68888,0.56255,0.56315,0.44068,0.88906,4.55398,1.28752,0.000952889,0.000952889,0.000952889
16,590.185,0.75981,4.27454,1.42626,0.79874,0.4898,0.59048,0.42355,1.07309,4.7362,1.50361,0.000946048,0.000946048,0.000946048
17,626.738,0.74218,4.20771,1.40635,0.62204,0.52236,0.54674,0.43596,1.04694,5.05648,1.40542,0.000938772,0.000938772,0.000938772
18,662.422,0.7513,4.14624,1.42217,0.72051,0.53088,0.57998,0.462,0.9164,4.00662,1.29994,0.000931067,0.000931067,0.000931067
19,698.175,0.73153,4.1457,1.40377,0.74052,0.52063,0.58215,0.44016,0.92052,4.36723,1.25572,0.000922942,0.000922942,0.000922942
20,734.861,0.7362,4.10136,1.40324,0.32849,0.63979,0.49549,0.37807,1.02254,5.10187,1.53234,0.000914405,0.000914405,0.000914405
21,771.239,0.72708,4.06612,1.3955,0.55236,0.58467,0.58353,0.4444,0.99837,4.12227,1.34934,0.000905463,0.000905463,0.000905463
22,812.88,0.7203,4.06647,1.3976,0.53178,0.60633,0.57442,0.45472,0.92214,4.17526,1.34791,0.000896127,0.000896127,0.000896127
23,849.698,0.69448,3.87908,1.37796,0.48264,0.65321,0.59077,0.47325,0.86155,3.91984,1.22196,0.000886404,0.000886404,0.000886404
24,885.821,0.72009,3.98719,1.38915,0.54085,0.60774,0.60794,0.48347,0.89881,4.22675,1.3231,0.000876305,0.000876305,0.000876305
25,928.129,0.69735,3.91009,1.37584,0.48873,0.59064,0.603,0.45784,0.88168,4.32782,1.22058,0.000865839,0.000865839,0.000865839
26,963.717,0.68744,3.93049,1.36893,0.54948,0.64053,0.6067,0.48272,0.86921,4.08731,1.228,0.000855018,0.000855018,0.000855018
27,999.295,0.66883,3.84274,1.35385,0.76624,0.5818,0.64191,0.49082,0.95214,3.82247,1.33262,0.000843851,0.000843851,0.000843851
28,1039.74,0.6768,3.81138,1.35772,0.51789,0.64358,0.63075,0.49588,0.91808,4.13374,1.29347,0.000832349,0.000832349,0.000832349
29,1076.92,0.66774,3.75079,1.34641,0.44444,0.62486,0.57493,0.41267,1.09375,4.32147,1.38088,0.000820525,0.000820525,0.000820525
30,1114.16,0.67581,3.90358,1.35069,0.58521,0.63233,0.62381,0.50041,0.91758,3.91353,1.30988,0.000808389,0.000808389,0.000808389
31,1152.84,0.66862,3.79575,1.3419,0.62677,0.60778,0.64929,0.50473,0.90064,3.82132,1.27303,0.000795954,0.000795954,0.000795954
32,1190.95,0.67922,3.6906,1.34503,0.6348,0.68962,0.67995,0.51317,0.87244,3.37261,1.20855,0.000783231,0.000783231,0.000783231
33,1233.44,0.64849,3.71813,1.33211,0.58378,0.67046,0.65284,0.49535,0.95846,3.96307,1.34487,0.000770234,0.000770234,0.000770234
34,1269.79,0.6501,3.5265,1.3318,0.78044,0.58512,0.68069,0.54281,0.88495,3.52799,1.25113,0.000756976,0.000756976,0.000756976
35,1312.71,0.65956,3.71304,1.34116,0.53121,0.58752,0.61096,0.47116,0.85967,4.08405,1.23263,0.000743468,0.000743468,0.000743468
36,1349.11,0.63651,3.5231,1.31741,0.52494,0.65931,0.66665,0.50999,0.89271,3.4492,1.24954,0.000729725,0.000729725,0.000729725
37,1385.02,0.67425,3.67669,1.34128,0.71893,0.62264,0.69471,0.53739,0.90095,3.40847,1.23417,0.000715761,0.000715761,0.000715761
38,1422.14,0.64912,3.54131,1.33074,0.60431,0.67586,0.65859,0.51213,0.89091,3.6596,1.22787,0.000701588,0.000701588,0.000701588
39,1458.17,0.63374,3.53262,1.31633,0.62665,0.63903,0.65759,0.52469,0.80833,3.71195,1.15341,0.000687222,0.000687222,0.000687222
40,1493.98,0.63582,3.4695,1.32298,0.57001,0.71315,0.66932,0.50797,0.96374,3.72425,1.28575,0.000672675,0.000672675,0.000672675
41,1530.92,0.62792,3.49917,1.30295,0.64558,0.65263,0.66376,0.51602,0.82947,3.33628,1.17674,0.000657963,0.000657963,0.000657963
42,1567.39,0.62318,3.46587,1.30666,0.68423,0.67826,0.71112,0.56214,0.87642,3.29803,1.20457,0.000643101,0.000643101,0.000643101
43,1609.9,0.62276,3.44929,1.31176,0.63568,0.71554,0.7142,0.57021,0.81642,3.10402,1.17238,0.000628101,0.000628101,0.000628101
44,1647.41,0.63291,3.4665,1.31824,0.72354,0.66168,0.7248,0.55268,0.81682,3.16703,1.1807,0.000612981,0.000612981,0.000612981
45,1683.04,0.6125,3.35688,1.30191,0.68288,0.66094,0.7113,0.55345,0.86519,3.36571,1.19036,0.000597754,0.000597754,0.000597754
46,1720.94,0.62012,3.4186,1.30169,0.69738,0.67558,0.72607,0.57176,0.81139,3.20673,1.15286,0.000582435,0.000582435,0.000582435
47,1759.86,0.60714,3.34645,1.29389,0.69644,0.66051,0.72186,0.56745,0.78264,3.12641,1.12971,0.00056704,0.00056704,0.00056704
48,1796.94,0.58355,3.14009,1.27044,0.69773,0.70285,0.74216,0.58321,0.82193,2.93863,1.15788,0.000551584,0.000551584,0.000551584
49,1839.87,0.58592,3.14572,1.28281,0.63405,0.70083,0.72444,0.55584,0.8488,3.15812,1.16073,0.000536081,0.000536081,0.000536081
50,1877.44,0.58759,3.1492,1.27253,0.75956,0.63623,0.74082,0.58259,0.79643,3.14095,1.14955,0.000520548,0.000520548,0.000520548
51,1913.53,0.59357,3.16215,1.28439,0.68724,0.68717,0.7208,0.56159,0.84197,3.08181,1.16349,0.000505,0.000505,0.000505
52,1949.81,0.58171,3.21038,1.26987,0.72605,0.68349,0.71878,0.55203,0.85521,3.19761,1.2046,0.000489452,0.000489452,0.000489452
53,1987.19,0.61349,3.27139,1.2942,0.71691,0.72423,0.76214,0.58303,0.80923,3.17224,1.11986,0.000473919,0.000473919,0.000473919
54,2023.05,0.58488,3.15813,1.27764,0.76174,0.72952,0.7765,0.60471,0.83294,2.89552,1.1681,0.000458416,0.000458416,0.000458416
55,2060.26,0.57161,2.97616,1.25335,0.7655,0.7456,0.78024,0.61415,0.81167,2.74338,1.1258,0.00044296,0.00044296,0.00044296
56,2099.89,0.5719,3.02822,1.26482,0.78243,0.70211,0.77884,0.60222,0.86569,3.06889,1.2093,0.000427565,0.000427565,0.000427565
57,2136.62,0.57201,2.95763,1.26284,0.7279,0.71772,0.76466,0.58816,0.891,3.04583,1.23523,0.000412246,0.000412246,0.000412246
