epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.002,2.10772,10.5206,2.20302,0.47912,0.15109,0.15536,0.08156,2.37057,10.4382,2.58252,0.00033247,0.00033247,0.0670855
2,279.997,2.02339,8.98768,2.15117,0.31261,0.24196,0.15353,0.07193,2.29006,10.437,2.40222,0.00066564,0.00066564,0.0340853
3,380.185,1.95905,8.71943,2.09234,0.24859,0.26417,0.21495,0.10628,2.14304,9.42668,2.22547,0.000998161,0.000998161,0.00108452
4,480.233,1.90408,8.39987,2.04633,0.43355,0.27151,0.20827,0.10837,2.12517,8.9273,2.28085,0.000997803,0.000997803,0.000997803
5,579.29,1.86833,8.15912,2.00377,0.46154,0.26524,0.24189,0.11791,2.14579,9.11382,2.31199,0.000996097,0.000996097,0.000996097
6,679.334,1.82056,7.93006,1.96686,0.29292,0.38178,0.27035,0.14433,1.97554,7.65259,2.06227,0.000993906,0.000993906,0.000993906
7,780.021,1.7776,7.77639,1.94083,0.33462,0.372,0.34152,0.17514,1.93135,7.58681,2.04166,0.000991232,0.000991232,0.000991232
8,879.762,1.75138,7.56719,1.93018,0.39317,0.40832,0.33074,0.16982,1.8902,7.20636,2.03643,0.000988079,0.000988079,0.000988079
9,977.008,1.70618,7.42726,1.87344,0.34764,0.37153,0.29634,0.16471,1.9074,7.73569,2.05232,0.000984449,0.000984449,0.000984449
10,1075.79,1.71208,7.31768,1.87331,0.4756,0.39729,0.37301,0.19781,1.88918,7.19434,2.00404,0.000980345,0.000980345,0.000980345
11,1174.75,1.65749,7.06785,1.83316,0.37367,0.44131,0.36752,0.19769,1.85096,6.76511,1.97968,0.000975773,0.000975773,0.000975773
12,1272.16,1.67128,7.12635,1.83598,0.37192,0.45294,0.39765,0.21244,1.83568,7.18807,1.97092,0.000970736,0.000970736,0.000970736
13,1370.88,1.65965,7.10339,1.84782,0.40073,0.39718,0.37065,0.21777,1.83099,6.85622,1.96093,0.000965239,0.000965239,0.000965239
14,1469.24,1.63332,6.87768,1.81081,0.39674,0.4276,0.38857,0.20859,1.82272,6.98506,1.96308,0.000959289,0.000959289,0.000959289
15,1567.04,1.64142,6.83241,1.81604,0.39464,0.4561,0.39712,0.22556,1.80659,6.77683,1.92909,0.000952889,0.000952889,0.000952889
16,1666.03,1.60428,6.76302,1.78498,0.4721,0.46392,0.43179,0.23362,1.82108,6.86954,1.94985,0.000946048,0.000946048,0.000946048
17,1765.72,1.60892,6.63066,1.78292,0.36733,0.48889,0.43111,0.243,1.7619,6.66695,1.88821,0.000938772,0.000938772,0.000938772
18,1865.83,1.596,6.58055,1.77661,0.4022,0.45916,0.43355,0.24021,1.78649,6.46584,1.92159,0.000931067,0.000931067,0.000931067
19,1964.94,1.56343,6.42668,1.76283,0.45365,0.50331,0.44602,0.2625,1.72468,6.26722,1.88047,0.000922942,0.000922942,0.000922942
